rental_item_id,contract_id,vendor_equipment_id,equipment_category,equipment_name,model,serial_number,quantity,daily_rate,weekly_rate,monthly_rate,delivery_fee,pickup_fee,currency_code,condition_at_delivery,condition_at_return,created_at,updated_at,correlation_id
RIT-000109,RC-2026-0109,VEQ-04-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00109,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2028-06-06T12:00:00Z,2028-06-06T12:00:00Z,ER-2026-000109
RIT-000110,RC-2026-0110,VEQ-04-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00110,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2028-07-01T12:00:00Z,2028-07-01T12:00:00Z,ER-2026-000110
RIT-000111,RC-2026-0111,VEQ-04-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00111,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2028-07-26T12:00:00Z,2028-07-26T12:00:00Z,ER-2026-000111
RIT-000112,RC-2026-0112,VEQ-04-04,Excavator,Mini Excavator,CAT 305,CAT305-00112,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2028-08-20T12:00:00Z,2028-08-20T12:00:00Z,ER-2026-000112
RIT-000113,RC-2026-0113,VEQ-05-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00113,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2028-09-14T12:00:00Z,2028-09-14T12:00:00Z,ER-2026-000113
RIT-000114,RC-2026-0114,VEQ-05-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00114,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2028-10-09T12:00:00Z,2028-10-09T12:00:00Z,ER-2026-000114
RIT-000115,RC-2026-0115,VEQ-05-03,Forklift,Rough Terrain Forklift,JCB 930,JCB930-00115,1,325.00,975.00,3250.00,125.00,125.00,USD,Good,Pending,2028-11-03T12:00:00Z,2028-11-03T12:00:00Z,ER-2026-000115
RIT-000116,RC-2026-0116,VEQ-05-04,Excavator,Mini Excavator,CAT 305,CAT305-00116,1,395.00,1185.00,3950.00,125.00,125.00,USD,Good,Pending,2028-11-28T12:00:00Z,2028-11-28T12:00:00Z,ER-2026-000116
RIT-000117,RC-2026-0117,VEQ-06-01,Lift,60-ft Boom Lift,JLG 600S,JLG600S-00117,1,485.00,1455.00,4850.00,125.00,125.00,USD,Good,Pending,2028-12-23T12:00:00Z,2028-12-23T12:00:00Z,ER-2026-000117
RIT-000118,RC-2026-0118,VEQ-06-02,Generator,Towable Generator,CAT XQ35,CATXQ35-00118,1,210.00,630.00,2100.00,125.00,125.00,USD,Good,Pending,2029-01-17T12:00:00Z,2029-01-17T12:00:00Z,ER-2026-000118
