rental_request_id,request_number,requested_by_staff_id,department_id,delivery_location_id,request_date,needed_start_date,needed_end_date,business_reason,estimated_cost,currency_code,request_status,approved_by_staff_id,approval_date,created_at,updated_at,correlation_id
RR-2026-0107,REQ-2028-0107,STF-009,DEP-003,LOC-ATL-001,2028-04-17,2028-04-21,2028-05-26,Capital project,4875.00,USD,Approved,STF-010,2028-04-19,2028-04-17T12:00:00Z,2028-04-21T12:00:00Z,ER-2026-000107
RR-2026-0108,REQ-2028-0108,STF-013,DEP-004,LOC-PHX-001,2028-05-12,2028-05-16,2028-05-30,Planned maintenance,2370.00,USD,Submitted,,,2028-05-12T12:00:00Z,2028-05-16T12:00:00Z,ER-2026-000108
RR-2026-0109,REQ-2028-0109,STF-001,DEP-001,LOC-CHI-001,2028-06-06,2028-06-10,2028-07-01,Plant outage support,4365.00,USD,Approved,STF-002,2028-06-08,2028-06-06T12:00:00Z,2028-06-10T12:00:00Z,ER-2026-000109
RR-2026-0110,REQ-2028-0110,STF-005,DEP-002,LOC-DAL-001,2028-07-01,2028-07-05,2028-08-02,Field repair,2520.00,USD,Approved,STF-006,2028-07-03,2028-07-01T12:00:00Z,2028-07-05T12:00:00Z,ER-2026-000110
RR-2026-0111,REQ-2028-0111,STF-009,DEP-003,LOC-ATL-001,2028-07-26,2028-07-30,2028-09-03,Capital project,4875.00,USD,Submitted,,,2028-07-26T12:00:00Z,2028-07-30T12:00:00Z,ER-2026-000111
RR-2026-0112,REQ-2028-0112,STF-013,DEP-004,LOC-PHX-001,2028-08-20,2028-08-24,2028-09-07,Planned maintenance,2370.00,USD,Approved,STF-014,2028-08-22,2028-08-20T12:00:00Z,2028-08-24T12:00:00Z,ER-2026-000112
RR-2026-0113,REQ-2028-0113,STF-001,DEP-001,LOC-CHI-001,2028-09-14,2028-09-18,2028-10-09,Plant outage support,4365.00,USD,Approved,STF-002,2028-09-16,2028-09-14T12:00:00Z,2028-09-18T12:00:00Z,ER-2026-000113
RR-2026-0114,REQ-2028-0114,STF-005,DEP-002,LOC-DAL-001,2028-10-09,2028-10-13,2028-11-10,Field repair,2520.00,USD,Submitted,,,2028-10-09T12:00:00Z,2028-10-13T12:00:00Z,ER-2026-000114
RR-2026-0115,REQ-2028-0115,STF-009,DEP-003,LOC-ATL-001,2028-11-03,2028-11-07,2028-12-12,Capital project,4875.00,USD,Approved,STF-010,2028-11-05,2028-11-03T12:00:00Z,2028-11-07T12:00:00Z,ER-2026-000115
RR-2026-0116,REQ-2028-0116,STF-013,DEP-004,LOC-PHX-001,2028-11-28,2028-12-02,2028-12-16,Planned maintenance,2370.00,USD,Approved,STF-014,2028-11-30,2028-11-28T12:00:00Z,2028-12-02T12:00:00Z,ER-2026-000116
RR-2026-0117,REQ-2028-0117,STF-001,DEP-001,LOC-CHI-001,2028-12-23,2028-12-27,2029-01-17,Plant outage support,4365.00,USD,Submitted,,,2028-12-23T12:00:00Z,2028-12-27T12:00:00Z,ER-2026-000117
RR-2026-0118,REQ-2029-0118,STF-005,DEP-002,LOC-DAL-001,2029-01-17,2029-01-21,2029-02-18,Field repair,2520.00,USD,Approved,STF-006,2029-01-19,2029-01-17T12:00:00Z,2029-01-21T12:00:00Z,ER-2026-000118
